piece,fonction,type_fonction,adresses_groupe
Villa Bulle / Maison principale / 0_Sous-Sol / Entrée,Lumière,switchable light,"1/0/1, 1/1/1, 1/0/2, 1/1/2"
Villa Bulle / Maison principale / 0_Sous-Sol / Entrée,chauffage (variable en continu),heating (continuous variable),"1/1/0, 1/1/10, 1/1/11, 1/1/12, 1/1/13"
Villa Bulle / Maison principale / 0_Sous-Sol / Escalier vers RDC,éclairage appliques escalier RDC ,switchable light,"1/0/50, 1/1/50"
Villa Bulle / Maison principale / 0_Sous-Sol / Garage,Lumière,switchable light,"1/0/6, 1/0/7, 1/0/8, 1/0/9, 1/1/6, 1/1/7, 1/1/8, 1/1/9"
Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique,Chauffage,heating (continuous variable),"1/1/14, 1/1/15, 1/1/16, 1/1/17, 1/1/18"
Villa Bulle / Maison principale / 0_Sous-Sol / Local Technique,Lumière,switchable light,"1/0/3, 1/0/4, 1/0/5, 1/1/3, 1/1/4, 1/1/5, 1/5/3, 1/5/4, 1/5/5, 1/6/3, 1/6/4, 1/6/5, 1/7/3, 1/7/4, 1/7/5"
Villa Bulle / Maison principale / 1_RDC,Volets RDC Tous,sun protection,0/3/2
Villa Bulle / Maison principale / 1_RDC,chauffage RDC Central,heating (continuous variable),0/4/2
Villa Bulle / Maison principale / 1_RDC / Bureau et Bibliothèque,Volet Salon Porte Fenêtre,sun protection,"3/0/7, 3/1/7"
Villa Bulle / Maison principale / 1_RDC / Bureau et Bibliothèque,chauffage Bibliothèque,heating (continuous variable),4/7/10
Villa Bulle / Maison principale / 1_RDC / Bureau et Bibliothèque,éclairage Spots bibliothèque,switchable light,"1/0/61, 1/1/61"
Villa Bulle / Maison principale / 1_RDC / Cuisine,Chauffage Cuisine,heating (continuous variable),"4/1/6, 4/0/6, 4/2/6, 4/3/6, 4/4/6, 4/5/6, 4/6/6, 4/7/6, 5/1/6, 5/5/6"
Villa Bulle / Maison principale / 1_RDC / Cuisine,Eclairage Bar,switchable light,"1/0/52, 1/1/52, 1/5/52, 1/7/52"
Villa Bulle / Maison principale / 1_RDC / Cuisine,Eclairage Cuisine tous,switchable light,1/0/54
Villa Bulle / Maison principale / 1_RDC / Cuisine,Eclairage Evier,switchable light,"1/0/51, 1/1/51, 1/7/51, 1/5/51"
Villa Bulle / Maison principale / 1_RDC / Cuisine,Eclairage Fenetre,switchable light,"1/0/53, 1/1/53, 1/5/53, 1/7/53"
Villa Bulle / Maison principale / 1_RDC / Cuisine,Store Cuisine ,sun protection,"2/0/1, 2/1/1, 2/2/1, 2/3/1, 2/4/1, 2/5/1, 2/6/1, 2/7/1"
Villa Bulle / Maison principale / 1_RDC / Cuisine,Volet Cuisine,sun protection,"3/0/5, 3/1/5, 3/3/5, 3/4/5, 3/5/5, 3/6/5"
Villa Bulle / Maison principale / 1_RDC / Salle de Bain invité,Store Salle de Bain invité,sun protection,
Villa Bulle / Maison principale / 1_RDC / Salle de Bain invité,chauffage Sallle de Bain invité,heating (continuous variable),4/1/16
Villa Bulle / Maison principale / 1_RDC / Salle de Bain invité,éclairage commutation,switchable light,"1/0/67, 1/1/67"
Villa Bulle / Maison principale / 1_RDC / Salle à Manger,Store Salle à Manger Grande Fenêtre,sun protection,"2/0/2, 2/1/2, 2/2/2, 2/3/2, 2/4/2, 2/5/2, 2/6/2, 2/7/2"
