adresse,nom,description,dpt,chemin_groupe,piece_fonction,fonctions,appareils,emplacement_appareil
0/0/1,SDB1 - Eclairage Spots - ON/OFF,,,Général > Salle de bain,,,,
0/0/3,SB1 - Volets,Volets,,Général > Salle de bain,,,,
0/0/4,Volet SDB - status current position,,DPST-5-1,Général > Salle de bain,,,,
0/0/11,Spot SDB Etat on-off,,,Général > Salle de bain,,,,
0/0/20,SDB1 - Bewegung,,,Général > Salle de bain,,,,
0/0/30,Chauffage RDC - xxx - Receive Temperature Value,,DPST-9-1,Général > Salle de bain,,,,
0/0/31,Chauffage RDC - xxx - Send Control Value Heating,,DPST-1-1,Général > Salle de bain,,,,
0/0/32,Chauffage RDC - xxx - Manual Setpoint shift,,DPST-9-2,Général > Salle de bain,,,,
0/0/33,Chauffage RDC - xxx - Send Status of setpoint shift,,DPST-9-2,Général > Salle de bain,,,,
0/0/34,Chauffage RDC - xxx - Mode Selection,,DPST-20-102,Général > Salle de bain,,,,
0/0/35,Chauffage RDC - xxx - Send Current Setpoint,,DPST-9-1,Général > Salle de bain,,,,
0/0/36,Chauffage RDC - xxx -,,,Général > Salle de bain,,,,
0/0/37,Chauffage RDC - xxx -,,,Général > Salle de bain,,,,
0/0/38,Chauffage RDC - xxx -  Forced Position,,DPST-1-5,Général > Salle de bain,,,,
0/0/39,Chauffage RDC - xxx -  Diagnosis Status,,DPST-16-1,Général > Salle de bain,,,,
0/0/40,Chauffage RDC - xxx - Receive Temperature Value,,DPST-9-1,Général > Salle de bain,,,,
0/0/41,Chauffage RDC - xxx - Send Control Value Heating,,DPST-1-1,Général > Salle de bain,,,,
0/0/42,Chauffage RDC - xxx - Manual Setpoint shift,,DPST-9-2,Général > Salle de bain,,,,
0/0/43,Chauffage RDC - xxx - Send Status of setpoint shift,,DPST-9-2,Général > Salle de bain,,,,
0/0/44,Chauffage RDC - xxx - Mode Selection,,DPST-20-102,Général > Salle de bain,,,,
0/0/45,Chauffage RDC - xxx - Send Current Setpoint,,DPST-9-1,Général > Salle de bain,,,,
0/0/46,Chauffage RDC - xxx -,,,Général > Salle de bain,,,,
0/0/47,Chauffage RDC - xxx -,,,Général > Salle de bain,,,,
